,state,sat_participation(%),ebrw,math,sat_total,year
0,Alabama,5,593,572,1165,2017
1,Alaska,38,547,533,1080,2017
2,Arizona,30,563,553,1116,2017
3,Arkansas,3,614,594,1208,2017
4,California,53,531,524,1055,2017
5,Colorado,11,606,595,1201,2017
6,Connecticut,100,530,512,1041,2017
7,Delaware,100,503,492,996,2017
8,District of Columbia,100,482,468,950,2017
9,Florida,83,520,497,1017,2017
10,Georgia,61,535,515,1050,2017
11,Hawaii,55,544,541,1085,2017
12,Idaho,93,513,493,1005,2017
13,Illinois,9,559,556,1115,2017
14,Indiana,63,542,532,1074,2017
15,Iowa,2,641,635,1275,2017
16,Kansas,4,632,628,1260,2017
17,Kentucky,4,631,616,1247,2017
18,Louisiana,4,611,586,1198,2017
19,Maine,95,513,499,1012,2017
20,Maryland,69,536,52,1060,2017
21,Massachusetts,76,555,551,1107,2017
22,Michigan,100,509,495,1005,2017
23,Minnesota,3,644,651,1295,2017
24,Mississippi,2,634,607,1242,2017
25,Missouri,3,640,631,1271,2017
26,Montana,10,605,591,1196,2017
27,Nebraska,3,629,625,1253,2017
28,Nevada,26,563,553,1116,2017
29,New Hampshire,96,532,520,1052,2017
30,New Jersey,70,530,526,1056,2017
31,New Mexico,11,577,561,1138,2017
32,New York,67,528,523,1052,2017
33,North Carolina,49,546,535,1081,2017
34,North Dakota,2,635,621,1256,2017
35,Ohio,12,578,570,1149,2017
36,Oklahoma,7,530,517,1047,2017
37,Oregon,43,560,548,1108,2017
38,Pennsylvania,65,540,531,1071,2017
39,Rhode Island,71,539,524,1062,2017
40,South Carolina,50,543,521,1064,2017
41,South Dakota,3,612,603,1216,2017
42,Tennessee,5,623,604,1228,2017
43,Texas,62,513,507,1020,2017
44,Utah,3,624,614,1238,2017
45,Vermont,60,562,551,1114,2017
46,Virginia,65,561,541,1102,2017
47,Washington,64,541,534,1075,2017
48,West Virginia,14,558,528,1086,2017
49,Wisconsin,3,642,649,1291,2017
50,Wyoming,3,626,604,1230,2017
51,Alabama,6,595,571,1166,2018
52,Alaska,43,562,544,1106,2018
53,Arizona,29,577,572,1149,2018
54,Arkansas,5,592,576,1169,2018
55,California,60,540,536,1076,2018
56,Colorado,100,519,506,1025,2018
57,Connecticut,100,535,519,1053,2018
58,Delaware,100,505,492,998,2018
59,District of Columbia,92,497,480,977,2018
60,Florida,56,550,549,1099,2018
61,Georgia,70,542,522,1064,2018
62,Hawaii,56,480,530,1010,2018
63,Idaho,100,508,493,1001,2018
64,Illinois,99,513,506,1019,2018
65,Indiana,63,542,532,1074,2018
66,Iowa,3,634,631,1265,2018
67,Kansas,4,633,631,1265,2018
68,Kentucky,4,630,618,1248,2018
69,Louisiana,4,615,595,1210,2018
70,Maine,99,512,501,1013,2018
71,Maryland,76,545,535,1080,2018
72,Massachusetts,80,562,563,1125,2018
73,Michigan,100,511,499,1011,2018
74,Minnesota,4,643,655,1298,2018
75,Mississippi,3,630,606,1236,2018
76,Missouri,4,633,629,1262,2018
77,Montana,10,606,592,1198,2018
78,Nebraska,3,629,623,1252,2018
79,Nevada,23,574,566,1140,2018
